CustomerID,Recency,Frequency,Monetary,TotalQuantity
12610,23,5,2099.54,1049
12611,52,1,1193.32,846
12612,74,1,704.0400000000001,262
12613,57,5,3344.38,1644
12614,278,1,315.6,76
12615,2,4,2291.19,1376
12616,95,2,713.3,284
12617,29,1,352.98,210
12618,22,1,177.31,96
12619,16,9,3641.24,3378
12620,15,3,1339.41,1181
12621,2,20,13689.67,7440
12622,232,1,180.1,69
12623,276,1,305.1,191
12624,106,2,641.13,355
12625,212,2,2683.82,1612
12626,23,9,6620.48,3453
12627,11,7,4478.53,2752
12628,4,3,786.46,448
12630,10,2,1270.88,548
12631,57,1,640.5,236
12633,59,4,2163.98,1162
12635,90,2,1689.18,1172
12637,67,8,6002.9,2994
12638,33,1,671.69,577
12639,239,1,486.1,201
12640,24,3,1174.58,311
12641,115,1,185.9,72
12642,25,3,1013.26,552
12643,128,6,3344.64,1808
12644,130,1,477.91,325
12645,34,4,1775.18,1084
12646,5,2,1346.97,897
12647,22,12,3722.82,1431
12648,155,1,318.05,160
12649,107,3,623.51,586
12650,3,1,314.44,254
12651,335,1,114.0,78
12652,331,1,919.98,505
12653,149,2,2209.85,919
12654,11,5,601.98,264
12656,17,5,4051.17,1723
12657,11,4,1643.18,1044
12658,19,1,686.05,320
12659,30,1,91.68,105
12660,11,1,245.1,127
12662,1,11,3849.78,2058
12664,8,9,4881.88,1203
12665,325,1,63.0,37
12667,58,1,620.13,395
12668,12,4,3807.15,1634
12669,151,3,2744.0299999999997,1115
12670,10,5,2996.05,1397
12672,330,1,225.89999999999998,78
12673,5,2,610.52,351
12674,39,4,1970.6,1133
12676,25,6,1331.39,670
12678,42,12,17628.46,10923
12679,59,4,1113.02,554
12680,1,4,862.81,443
12681,15,22,13787.54,7536
12682,4,31,12279.82,5555
12683,4,15,8476.57,4987
12684,8,7,2283.63,1985
12685,28,6,2863.08,1523
12686,372,1,89.14,107
12688,114,1,4873.8099999999995,3028
12689,26,2,1247.61,628
12690,206,1,389.01,106
12691,28,6,1035.8,394
12693,127,4,855.91,255
12694,70,2,869.67,509
12695,7,4,582.1,220
12697,29,3,957.59,508
12700,8,4,4939.99,2967
12701,80,2,797.71,678
12702,20,1,219.0,53
12703,71,1,283.55,164
12704,7,8,2340.84,1006
12705,15,9,6868.29,3997
12707,292,1,603.42,256
12708,30,10,2712.91,1307
12709,15,15,9706.52,3912
12710,97,3,1149.02,851
12712,29,13,4396.13,1062
12713,1,1,848.55,508
12714,9,5,4708.86,3069
12715,106,1,343.36,192
12716,4,2,1053.49,708
12717,151,2,1030.98,506
12718,71,1,238.25,203
12719,5,2,644.95,374
12720,3,25,5781.73,4672
12721,32,6,2656.13,1959
12722,85,4,997.63,566
12723,4,5,725.07,434
12724,5,4,1031.41,445
12725,371,1,427.8,164
12726,28,7,2609.1,3143
12727,11,7,3980.7,2098
12728,71,4,836.33,419
12729,114,1,453.01,233
12731,24,12,18895.91,8437
12732,180,1,236.26000000000002,111
12733,234,1,383.95,137
12734,353,1,110.39999999999999,88
12735,315,2,779.5699999999999,368
12736,333,1,234.0,173
12738,372,1,155.35,148
12739,78,2,1013.04,486
12740,64,1,427.6,342
12743,134,2,540.13,315
12744,52,7,21279.29,5241
12747,2,11,4196.01,1275
12748,1,209,33053.19,25287
12749,4,5,4090.88,1471
12750,129,1,275.88,137
12752,81,1,4366.78,2262
12753,23,6,21429.39,11421
12754,236,3,3010.74,6481
12755,281,2,3811.95,1491
12756,87,1,112.07999999999998,144
12757,16,13,7834.650000000001,2395
12758,117,2,2791.59,2135
12759,52,3,1531.44,902
12762,8,2,1898.52,1227
12763,138,2,494.08,316
12764,317,1,1693.88,386
12766,4,7,6989.63,3646
12769,239,1,1143.6,356
12770,211,1,1351.45,743
12772,60,1,892.47,556
12775,17,5,1386.04,877
12778,20,6,822.23,825
12779,38,8,3981.36,2024
12781,64,2,826.74,671
12782,5,5,2330.92,1086
12783,2,6,2225.91,624
12784,9,2,532.8199999999999,280
12785,364,1,311.95,131
12787,10,3,463.66,261
12789,65,1,91.85,4
12790,192,1,324.92,166
12791,374,1,192.60000000000002,97
12792,257,1,400.53999999999996,217
12793,335,2,545.48,295
12794,53,2,860.41,592
12795,19,1,430.48,68
12797,366,1,254.03,118
12798,10,3,6977.04,5256
12802,187,1,427.58,314
12808,37,3,483.65000000000003,188
12809,178,1,489.31,220
12811,261,3,514.85,230
12812,45,1,229.64000000000001,164
12814,102,1,125.92,49
12815,148,2,1063.46,379
12816,96,2,572.2,128
12817,281,1,166.04,53
12818,262,1,1542.08,929
12820,3,4,942.34,722
12821,214,1,92.72,70
12822,71,2,948.88,550
12823,75,5,1759.5,230
12824,60,1,397.12,232
12826,3,7,1474.72,1058
12827,6,3,430.15000000000003,197
12828,3,6,1018.71,494
12829,337,2,293.0,376
12830,38,6,6814.64,9848
12831,262,1,215.05,135
12832,32,2,383.03,195
12833,145,1,417.38,156
12834,283,1,312.38,110
12836,59,4,2610.36,1062
12837,173,1,134.1,24
12838,34,2,671.95,355
12839,3,14,5591.42,3807
12840,144,4,2726.77,1511
12841,5,25,3991.58,2720
12842,70,2,1118.99,547
12843,66,8,1702.26,781
12844,29,2,325.96000000000004,125
12845,267,4,354.09,204
12847,22,1,843.64,873
12849,31,2,1010.29,597
12851,97,1,131.81,106
12852,295,1,311.55,149
12853,135,6,1957.1000000000001,800
12854,79,3,1316.25,626
12855,373,1,38.1,30
12856,8,6,2170.78,1076
12857,211,2,1106.4,343
12863,52,1,521.2,188
12864,138,1,147.12,216
12865,26,2,1568.23,925
12866,283,1,559.12,171
12867,26,7,4009.34,4284
12868,186,6,1607.0600000000002,928
12871,84,2,380.64,200
12872,327,2,599.97,319
12873,282,1,374.0,128
12875,143,2,343.2300000000001,2019
12876,58,2,2218.02,1941
12877,4,12,1535.77,1178
12878,236,2,854.99,547
12879,45,3,573.22,370
12881,276,1,298.0,21
12882,9,2,1463.04,246
12883,25,4,703.47,196
12884,88,1,309.05,43
12885,63,3,1175.22,655
12886,68,2,1378.4,770
12888,214,2,354.12,76
12890,24,1,376.71999999999997,256
12891,186,3,331.0,950
12893,31,1,176.55,90
12895,42,2,372.8,210
12897,205,2,216.5,110
12901,9,28,17654.54,23075
12902,265,1,138.68,66
12904,18,2,496.06,294
12906,12,5,2919.81,1749
12908,176,2,750.0,1200
12909,40,5,2178.67,1280
12910,23,8,3075.04,1692
12912,3,5,1662.3,670
12913,5,5,2483.63,1419
12915,149,2,363.65,93
12916,139,4,2944.95,1083
12917,128,1,594.0,120
12919,8,6,1335.19,673
12920,17,1,162.78,128
12921,9,37,16587.09,9526
12922,161,1,405.38,370
12923,64,1,172.82,68
12924,88,4,933.7,481
12925,5,2,694.05,541
12928,35,5,2062.7000000000003,1472
12929,312,1,117.85,37
12930,78,2,415.8,252
12931,22,15,42055.96,28004
12933,24,3,607.53,499
12935,2,7,2160.7,1853
12936,17,4,1063.9,559
12937,15,4,1504.27,1007
12938,26,1,114.14,140
12939,64,8,11581.8,4876
12940,55,2,899.69,404
12942,131,3,675.6,198
12944,36,2,604.51,289
12945,288,1,462.95,165
12947,144,6,1603.99,1165
12948,16,7,2064.95,1080
12949,31,8,4167.22,2381
12950,2,3,1843.0,1380
12951,9,6,1064.07,503
12952,6,4,1387.79,653
12953,10,1,329.85,84
12955,1,11,4757.16,3664
12956,306,1,108.07,34
12957,10,8,4017.54,2549
12962,7,2,266.39,129
12963,8,8,1856.63,881
12965,89,1,769.8100000000001,282
12966,10,1,160.18,75
12967,358,2,1660.9,438
12968,112,1,135.95,73
12970,7,4,405.47,268
12971,4,86,11189.91,9289
12974,198,1,144.8,24
12976,212,1,738.6,561
12977,156,1,39.239999999999995,12
12980,158,9,7374.900000000001,886
12981,30,2,372.21999999999997,242
12982,243,1,390.54,288
12984,19,1,97.5,26
12985,1,2,1239.38,1533
12987,74,2,558.7,219
12988,292,1,505.82,126
12989,3,15,6924.110000000001,2943
12990,31,3,409.5,200
12991,23,2,503.76,405
12993,23,4,414.76,240
12994,4,3,974.4200000000001,459
12995,85,1,211.32,108
12997,22,4,1226.89,664
12999,196,3,455.88,342
13000,107,3,534.85,379
13001,4,13,9785.970000000001,5490
13002,318,1,120.94999999999999,73
13003,106,3,149.05,103
13004,12,18,5655.91,4822
13005,174,2,513.7,172
13006,56,1,81.57,55
13008,323,1,229.46999999999997,175
13011,372,1,50.550000000000004,13
13012,9,8,1646.8400000000001,820
13013,1,13,4810.9400000000005,2224
13014,11,10,3466.2799999999997,905
13015,53,5,3339.64,1609
13016,73,3,789.89,527
13017,7,1,204.0,48
13018,16,28,7277.7,5435
13021,4,9,2616.38,1352
13023,64,2,689.9,286
13026,1,5,975.36,1620
13027,114,6,6912.0,17280
13028,23,2,661.3199999999999,798
13029,31,3,1247.5,134
13030,11,2,752.4399999999999,348
13032,52,2,1010.18,375
13033,357,1,190.55,83
13034,55,2,642.77,369
13035,74,2,921.88,644
13037,138,3,881.07,431
13038,80,3,908.46,360
13040,9,2,676.99,355
13043,273,1,516.42,254
13044,291,1,560.47,429
13045,99,1,305.28000000000003,221
13046,31,2,629.31,264
13047,32,10,3237.54,1391
13048,14,4,1819.41,1228
13049,64,2,656.6800000000001,268
13050,15,17,5836.86,3748
13052,212,1,348.15000000000003,222
13055,78,3,1214.41,894
13058,25,3,271.40000000000003,52
13059,250,1,183.4,35
13060,254,1,307.53,123
13061,72,1,248.61,107
13062,191,1,346.98,343
13064,13,4,1105.59,514
13065,373,1,205.86,74
13066,24,2,470.8,322
13067,82,1,115.46000000000001,32
13068,10,2,344.0,200
13069,1,24,4431.44,5873
13070,192,1,228.8,110
13072,267,1,177.15,69
13075,130,1,919.61,485
13077,1,4,728.02,862
13078,3,26,12627.94,5630
13079,4,5,220.10000000000002,62
13080,179,1,58.08,120
13081,12,11,28337.38,19068
13082,126,9,3613.63,4324
13083,4,2,303.75,187
13085,158,2,416.08000000000004,216
13089,3,97,58762.08,31025
13090,9,14,8910.82,2263
13091,28,1,345.82,466
13092,71,5,477.83,279
13093,276,8,7832.47,3961
13094,21,12,1927.3200000000002,1716
13095,71,1,74.39999999999999,144
13097,33,10,6003.22,2360
13098,1,28,28882.44,15968
13099,99,1,207.35999999999999,288
13101,234,1,101.19,113
13102,1,24,6424.09,4204
13103,40,1,243.94,82
13104,3,6,1098.48,504
13106,133,1,76.5,18
13107,44,4,1531.6200000000001,1293
13108,373,1,350.06,298
13109,60,2,786.54,520
13110,31,7,1488.67,388
13113,1,24,12245.960000000001,3045
13115,12,4,2294.78,1567
13116,138,1,501.14,291
13117,22,8,984.91,945
13118,20,5,1197.81,410
13120,239,1,30.599999999999998,12
13121,269,1,283.73,252
13122,94,2,922.39,585
13124,90,3,3756.33,2119
13126,5,8,2099.64,2143
13127,78,1,259.17,127
13130,94,1,64.0,32
13131,23,3,1073.3,447
13132,262,1,77.3,20
13133,274,2,109.8,32
13134,86,4,1793.58,1059
13135,197,1,3096.0,4300
13136,56,5,2607.61,1328
13137,11,8,3603.29,2204
13138,22,6,962.39,473
13139,16,7,5064.94,2425
13140,108,3,422.47,185
13141,85,5,2388.75,1548
13142,19,1,307.09,258
13144,333,1,110.95,21
13145,40,4,618.52,145
13146,26,1,228.91,154
13147,10,4,712.8000000000001,144
13148,29,12,3683.26,1965
13149,14,4,1676.06,1280
13151,296,1,1257.8700000000001,363
13153,6,1,486.22,418
13155,33,4,971.76,497
13157,49,4,1741.22,1439
13158,95,4,1201.06,784
13159,9,4,1429.35,1058
13160,22,1,91.8,56
13161,313,1,112.75,29
13162,122,4,1688.29,1713
13165,46,2,1021.48,1376
13166,283,1,417.2,216
13167,19,4,791.33,785
13168,36,4,1299.59,670
13169,64,2,712.88,272
13170,27,1,108.81,141
13171,22,3,468.41,229
13173,4,2,353.65,277
13174,16,3,2742.82,1352
13176,46,1,481.49,448
13177,65,1,282.45,91
13178,26,11,5725.47,3570
13182,45,1,121.18,201
13183,8,9,3957.78,2208
13184,15,10,1668.95,1662
13185,268,1,71.4,12
13186,40,3,1575.89,820
13187,337,1,236.02,95
13188,11,1,114.60000000000001,25
13189,19,2,260.68,842
13192,95,2,911.94,595
13193,61,1,112.08,46
13194,136,1,60.7,26
13196,11,4,1797.78,1224
13198,10,6,3401.2400000000002,2648
13199,4,38,9817.12,6176
13200,19,4,870.09,516
13203,10,4,869.46,800
13207,15,2,250.26000000000002,130
13208,59,6,1217.65,803
13209,30,8,5891.61,4253
13210,94,1,353.48,316
13211,10,3,1095.42,834
13212,20,3,786.83,309
13213,57,5,1520.58,1360
13216,268,1,333.74,297
13217,122,3,533.98,262
13218,127,1,62.63999999999999,88
13220,78,4,819.2900000000001,196
13221,240,2,847.41,244
13223,200,2,163.20000000000002,88
13224,60,2,2155.95,1518
13225,3,7,6463.84,3416
13226,273,1,108.21000000000001,80
13227,202,1,257.7,99
13228,81,1,358.0,200
13229,226,1,160.95,63
13230,4,14,2755.63,1638
13232,13,7,1328.35,773
13233,74,2,605.12,1004
13235,212,1,1031.07,441
13236,25,2,744.85,416
13238,17,4,700.73,298
13239,262,1,329.56,327
13240,96,4,663.65,298
13242,112,3,270.40000000000003,130
13243,203,1,585.12,232
13244,93,1,121.74000000000001,38
13245,51,1,430.5,125
13246,18,6,1961.52,1587
13247,18,4,501.12,328
13248,125,2,465.68,305
13249,92,3,711.41,546
13253,157,2,1030.4,1572
13255,9,2,399.51,177
13258,12,3,672.83,282
13259,62,1,283.18,126
13260,61,1,557.62,142
13261,269,2,944.1,210
13262,263,1,200.29,125
13263,1,35,7436.93,4768
13265,53,5,2092.66,1740
13266,11,12,3834.2599999999998,4428
13267,3,19,4521.49,1969
13268,18,11,3174.75,3624
13269,1,15,5343.28,3513
13270,366,1,590.0,200
13271,37,1,211.49,240
13272,31,2,276.56,96
13273,113,1,138.98,153
13276,64,2,590.9300000000001,161
13277,16,4,258.4,176
13278,41,1,542.73,537
13279,78,1,137.75,73
13280,122,3,798.46,518
13282,18,3,1132.14,307
13283,60,2,93.66,90
13284,331,1,201.19,91
13285,23,4,2709.12,2051
13291,156,1,361.11,233
13292,39,2,578.9399999999999,347
13294,190,2,873.74,453
13295,360,1,201.20000000000002,82
13296,137,1,87.4,78
13297,8,4,2089.85,963
13298,1,1,360.0,96
13299,268,1,142.5,30
13300,169,1,371.89,203
13301,104,4,618.09,345
13302,155,1,63.75,5
13304,351,1,300.42,238
13305,4,10,2000.86,1232
13307,120,1,15.0,4
13308,23,3,1385.51,843
13309,7,5,1456.79,1544
13310,28,3,1132.03,587
13311,4,2,598.57,305
13313,22,5,1555.32,851
13314,2,3,775.94,560
13316,37,4,5732.93,5508
13317,66,6,2273.68,1035
13318,1,3,640.76,304
13319,5,26,10845.550000000001,4724
13320,78,4,1532.2,1086
13321,72,2,567.36,372
13322,17,1,199.48000000000002,117
13323,3,5,787.85,175
13324,36,10,7121.95,5205
13325,82,1,675.3,240
13327,39,8,3627.77,1600
13328,316,1,1308.48,680
13329,32,2,789.0,463
13330,93,3,1140.93,751
13332,14,1,350.9,179
13334,82,3,3502.32,1764
13336,77,1,795.12,559
13338,158,1,487.02,256
13339,201,1,860.12,326
13340,45,7,10736.48,5770
13341,261,1,775.85,301
13343,178,1,353.43,135
13344,68,3,2511.69,952
13345,288,1,389.5,141
13347,70,1,341.36,205
13348,64,1,233.76,136
13349,11,1,247.32,225
13350,16,2,979.12,287
13351,66,1,373.94,117
13352,60,1,397.97999999999996,321
13354,71,1,743.53,604
13355,122,1,674.7,314
13356,80,1,768.24,325
13357,257,1,609.4,321
13358,269,1,439.03,285
13359,64,1,439.56,161
13362,9,4,3090.7400000000002,1382
13363,18,2,992.5,710
13364,71,1,134.95999999999998,71
13365,34,2,2225.37,1247
13366,50,1,56.160000000000004,144
13368,257,2,623.4,327
13369,366,1,308.28000000000003,149
13370,372,1,754.87,343
13372,90,1,378.64,159
13373,61,3,3312.25,1651
13375,89,1,778.65,442
13376,99,3,1019.76,493
13379,26,3,572.56,601
13381,32,6,3639.31,2029
13382,281,1,222.99,131
13384,31,7,4151.93,2422
13385,330,1,534.57,281
13388,131,2,677.1,282
13389,11,3,797.96,429
13390,75,1,544.08,224
13391,204,1,59.8,4
13394,2,8,2520.02,2392
13395,185,1,307.72,336
13396,29,2,1360.99,600
13397,73,5,1544.13,430
13398,192,1,457.34,281
13402,127,2,621.23,479
13403,18,1,75.0,44
13404,1,2,252.49,111
13405,74,3,572.451,165
13408,2,62,28117.04,16232
13410,24,5,1003.06,518
13411,107,1,213.55,72
13414,134,3,1390.5,1574
13416,44,2,712.5,142
13417,5,2,640.83,162
13418,12,18,6127.43,3918
13419,64,1,221.06,275
13420,150,2,159.85,101
13421,40,2,1833.71,1128
13422,64,1,2626.3,1326
13425,108,3,1624.21,1123
13426,1,10,3641.32,2245
13427,19,3,582.6,545
13428,10,1,201.78,151
13429,11,4,1006.8,1390
13430,19,2,679.45,751
13431,67,2,1269.1,672
13434,74,2,534.24,300
13435,5,7,3809.8900000000003,2129
13436,2,1,196.89,76
13437,14,7,3408.06,1283
13439,255,1,283.71,242
13441,92,1,296.64,204
13447,23,3,1129.14,584
13448,17,6,3534.69,1648
13449,24,1,291.88,222
13450,27,6,2043.7199999999998,1982
13451,26,5,2898.2599999999998,2128
13452,259,2,590.0,2
13453,166,2,356.97999999999996,134
13455,25,2,1058.34,354
13456,18,6,1766.72,765
13458,7,14,9646.57,5508
13460,29,2,183.44,286
13461,39,3,1445.0,1170
13462,253,1,151.5,62
13464,58,1,674.68,403
13466,184,1,307.9,259
13467,11,2,1071.91,580
13468,2,37,5704.97,2589
13470,99,2,165.0,100
13471,1,4,2501.84,1583
13473,61,2,422.64,266
13474,236,1,226.84,129
13475,191,4,1431.78,1012
13476,179,2,1238.47,417
13477,38,6,1454.58,1021
13479,201,2,300.95,134
13481,46,5,1804.56,1142
13482,232,1,184.64,116
13483,66,1,140.34,160
13484,241,1,313.8,44
13485,233,1,454.24,277
13486,78,3,1122.41,669
13487,58,3,575.4,265
13488,17,13,8968.31,4518
13489,105,4,449.52,560
13491,52,10,1215.82,903
13492,136,3,1269.84,408
13493,275,2,618.63,380
13494,312,1,316.26000000000005,162
13495,8,5,2044.8700000000001,829
13496,11,2,653.33,341
13497,283,2,348.05,163
13499,18,5,1159.11,1365
13500,23,3,1166.77,609
13501,288,1,1340.32,560
13502,17,3,292.0,264
13503,71,1,216.85,248
13504,64,1,295.93,178
13505,73,4,4393.63,2486
13506,316,2,458.52,324
13507,3,4,2479.16,1597
13508,244,1,110.97,24
13509,9,7,979.72,1106
13510,1,4,1791.56,1386
13512,261,1,251.21,143
13513,127,1,205.1,109
13514,74,1,152.20000000000002,40
13515,73,4,891.12,681
13516,21,3,1389.41,985
13517,60,3,2128.42,1369
13518,86,1,627.16,382
13519,78,1,122.75,23
13520,59,6,3624.35,1649
13521,1,3,1071.73,718
13522,30,1,125.80000000000001,44
13523,33,5,3964.88,1752
13524,41,5,680.1800000000001,324
13525,15,2,628.78,394
13527,34,7,2242.36,1683
13529,79,2,307.76,74
13531,205,2,483.8,174
13532,34,1,210.31,129
13533,183,3,269.09,202
13534,2,25,5870.08,2961
13536,1,7,3444.39,2126
13538,43,7,1280.85,175
13539,86,3,631.34,320
13544,40,2,276.06,112
13546,12,3,621.09,357
13548,96,2,678.16,436
13549,26,7,918.2,458
13551,319,1,91.80000000000001,12
13552,66,12,3740.07,1417
13555,74,4,4098.88,2636
13557,28,2,584.06,546
13558,6,4,594.52,338
13560,7,1,171.42000000000002,63
13561,216,1,141.85999999999999,83
13562,82,3,1799.33,757
13563,84,2,777.53,209
13564,144,3,1724.67,636
13565,19,2,240.22,172
13566,41,2,856.84,567
13568,173,1,187.05,66
13569,17,2,338.62,156
13570,243,1,239.49,161
13571,13,12,2088.94,1757
13572,206,1,1384.25,534
13573,50,2,290.25,302
13575,23,5,732.0699999999999,449
13576,10,18,6717.34,2646
13577,25,4,1687.6000000000001,791
13579,15,2,467.04,176
13581,309,1,118.0,30
13583,156,1,781.03,725
13584,307,1,142.4,37
13587,64,1,712.4,180
13588,16,9,2478.95,2606
13589,15,2,379.65,114
13590,11,6,1981.92,1848
13591,65,3,1117.13,485
13592,36,4,247.95999999999998,84
13593,108,5,2011.88,719
13594,53,1,396.97,359
13596,6,2,664.11,384
13598,47,1,160.04,52
13599,1,21,5149.92,3293
13600,312,1,219.52,324
13601,45,2,693.32,548
13602,65,1,428.89,267
13603,26,1,164.34,164
13606,29,3,276.75,276
13607,40,1,675.51,288
13610,12,7,1082.33,488
13611,89,3,1154.4,754
13614,24,4,1585.46,564
13615,319,1,417.69,189
13617,40,3,544.18,300
13618,174,1,177.34,246
13621,117,1,213.85,343
13623,31,5,727.74,286
13626,253,1,257.23,209
13627,59,5,1638.47,1269
13629,23,11,7792.36,4372
13630,5,7,2031.78,1391
13631,100,11,3070.42,467
13632,25,5,2118.93,1031
13634,33,5,1547.3600000000001,700
13635,68,1,1071.03,677
13636,37,5,949.12,592
13637,52,3,804.3,405
13638,16,1,122.64,93
13639,74,1,1033.34,800
13642,216,1,312.28,151
13643,31,3,519.44,273
13644,16,4,2624.26,2067
13645,120,1,252.1,158
13647,10,4,1648.1200000000001,887
13649,257,2,346.6,139
13650,17,6,1836.34,922
13651,35,2,94.2,33
13652,46,3,1095.08,578
13654,43,6,2707.33,2182
13655,114,2,932.97,605
13656,165,2,379.65,490
13657,11,2,382.14,209
13658,10,5,2639.17,1019
13659,206,2,1563.0,882
13662,86,3,881.26,533
13663,179,1,189.47,91
13666,60,3,84.65,41
13667,149,1,299.05,149
13668,3,21,6309.83,3722
